prime_mover,rowid,RC1,RC2,RC3,RC4
CC,97,0.2402084341121432,0.02057825773150201,-0.5168179771010563,NA
CC,98,0.2791017446413527,0.01333492246524032,-0.5103345525341201,NA
CC,99,0.06378619593548378,0.05509654700937793,-0.5203066737713068,NA
CC,100,0.07442675346080863,0.05473112304276659,-0.518422997345488,NA
CC,101,0.11568630525690372,0.04976703517242772,-0.521763231717433,NA
CC,102,-0.19979148537049762,0.11648803861598993,-0.4748358995211851,NA
CC,103,-0.3334575636180921,0.15040875700295755,-0.45127640077307296,NA
CC,104,-0.2844036999644272,0.14333624366025405,-0.43270370961787236,NA
CC,105,-0.04139660775722568,0.09204411092531048,-0.4558924236791489,NA
CC,106,-0.060184615036451165,0.09405847653045855,-0.4602430858311085,NA
CC,107,-0.06179382680872201,0.09707302405037582,-0.47435997694097615,NA
CC,108,-0.04252677023351506,0.09680901527894258,-0.478529102995021,NA
CC,109,0.004524511768053261,0.0903055343815811,-0.46841563062844027,NA
CC,110,0.06206614037901328,0.08215934647622196,-0.4612751632109958,NA
CC,111,0.11475904967172648,0.07415261058210611,-0.47541032330785726,NA
CC,112,0.09554567685142495,0.08834937899143888,-0.47592850855201674,NA
CC,113,0.1345865225222528,0.08495992689499672,-0.4708178950829015,NA
CC,114,0.1711241688865702,0.08348547907645613,-0.4697699090203372,NA
CC,115,0.19656969444299413,0.08739680450917363,-0.47753637787127895,NA
CC,116,0.23967590882666484,0.08247298080484755,-0.4721867626312804,NA
CC,117,-0.04466373944769833,0.11371816435172039,-0.4658563057599765,NA
CC,118,-0.06388159318103949,0.11858411841252328,-0.47151788518966947,NA
CC,119,-0.06564725686023593,0.12263656318012643,-0.4861119129746435,NA
CC,120,-0.04645103180826476,0.12284244860468274,-0.49049705632214036,NA
CC,121,6.917446533682855e-4,0.11573199620952514,-0.48010455020439724,NA
CC,122,0.05850273885398794,0.10579884507934582,-0.47214258943245235,NA
CC,123,0.1115408822755711,0.09550183635185501,-0.485224877323284,NA
CC,124,0.09166819150789272,0.1140725002053501,-0.4877538068238178,NA
CC,125,0.13076323850226296,0.11032347815779006,-0.4824778937440453,NA
CC,126,0.16738570383788196,0.10828634383324612,-0.4811712323943077,NA
CC,127,0.1927817164900464,0.11252613638449051,-0.4890887024249569,NA
CC,128,0.2359347788588249,0.10729152455518362,-0.4835962132993723,NA
CC,129,0.21867749620657484,0.02804829535220759,-0.5611328951442467,NA
CC,130,0.23417772324953087,0.028999883874481245,-0.537342003793366,NA
CC,131,0.2587665185407442,0.02875312033989288,-0.5521194559288387,NA
CC,132,0.25533515915690924,0.03223612021558807,-0.5602535399415345,NA
CC,133,0.3005236056913085,0.03550980085442119,-0.48815316546776305,NA
CC,134,0.29995403953271543,0.02930238070724618,-0.5040949540334521,NA
CC,135,0.30621963853877776,0.02199791394264813,-0.5153672154179051,NA
CC,136,0.2959984843940845,0.023224982649260994,-0.5364344916950136,NA
CC,137,0.30141815903670194,0.02131761857844186,-0.5456834773805933,NA
CC,138,0.31134406774263934,0.018843046632471945,-0.5363007594507063,NA
CC,139,0.3198194247182141,0.018203255806424127,-0.5282500269375991,NA
CC,140,0.313884466636031,0.02120236514660624,-0.5422551735856138,NA
CC,141,0.3093727011726846,0.024438148269887962,-0.5548257770573002,NA
CC,142,0.3161266683033233,0.023565942562952993,-0.5522531939082524,NA
CC,143,0.3168505171173861,0.026225053185852026,-0.5537386947661912,NA
CC,144,0.30788103531740973,0.033941132387888436,-0.5665396729699818,NA
CC,145,0.31723354626252287,0.03148735941191169,-0.5635042536419982,NA
