prime_mover,cls,formula,mean_rmse
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + CHP_fixed_adj + oil_starts_adj,6273065.816391519
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj,6199615.256375622
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + gen_adj,6188157.950838691
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,6220818.921648441
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,6187259.497728512
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + gen_adj,6256093.574673178
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + gen_adj + oil_starts_adj,6317430.021364155
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_age_fixed_adj + oil_starts_adj,6273065.816391519
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + oil_starts_adj,6367745.372380279
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + duct_burners_fixed_adj,6286545.741178131
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + duct_burners_fixed_adj + gen_adj,6279682.675210597
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,6268555.75143792
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + duct_burners_fixed_adj + oil_starts_adj,6266845.223351971
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gen_adj,6453836.577202951
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + gen_adj + oil_starts_adj,6377493.257089051
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj,6241002.778342813
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + CHP_fixed_adj,6241002.778342813
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj,6195520.047429538
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj,6198923.291984969
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,6181028.596109316
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,6172761.803117916
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + CHP_fixed_adj + gen_adj,6255655.710363771
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + CHP_fixed_adj + gen_adj + oil_starts_adj,6271400.040496221
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + CHP_fixed_adj + oil_starts_adj,6251796.821231107
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + duct_burners_fixed_adj,6195520.047429538
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + oil_age_fixed_adj + duct_burners_fixed_adj + gen_adj,6198923.291984969
