prime_mover,cls,formula,variable,coefficient,category,variable_type
GT,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_age_fixed_adj + oil_starts_adj,age_variable_adj,-0.1892851551637301,variable,core
GT,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_age_fixed_adj + oil_starts_adj,age_obs_variable_adj,-0.1840754894158844,variable,core
GT,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_age_fixed_adj + oil_starts_adj,starts_adj,0.1894635822087168,start,core
GT,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_age_fixed_adj + oil_starts_adj,oil_fixed_adj,-3997.4094781888834,fixed,optional
GT,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_age_fixed_adj + oil_starts_adj,oil_age_fixed_adj,-401.1006958975712,fixed,optional
GT,1,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_age_fixed_adj + oil_starts_adj,oil_starts_adj,4.796980346458928,start,optional
GT,2,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_variable_adj,capacity_adj,3542.8459093227057,fixed,core
GT,2,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_variable_adj,age_fixed_adj,35.90304662937105,fixed,core
GT,2,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_variable_adj,age_obs_fixed_adj,-28.90742980461109,fixed,core
GT,2,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_variable_adj,gen_adj,-1.6403018256566269,variable,core
GT,2,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_variable_adj,age_variable_adj,-0.35275725819564846,variable,core
GT,2,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_variable_adj,age_obs_variable_adj,0.2507368821675716,variable,core
GT,2,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_variable_adj,starts_adj,3.9159578470066965,start,core
GT,2,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_variable_adj,oil_fixed_adj,12512.31472808265,fixed,optional
GT,2,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_variable_adj,oil_variable_adj,-15.283776769850846,variable,optional
GT,3,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_starts_adj,capacity_adj,3007.764342050377,fixed,core
GT,3,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_starts_adj,age_fixed_adj,75.56521376327187,fixed,core
GT,3,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_starts_adj,age_obs_fixed_adj,185.97228955497948,fixed,core
GT,3,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_starts_adj,gen_adj,3.118749052607359,variable,core
GT,3,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_starts_adj,age_variable_adj,-0.5655807623914634,variable,core
GT,3,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_starts_adj,age_obs_variable_adj,-0.04411049999159161,variable,core
GT,3,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_starts_adj,starts_adj,6.686071867731752,start,core
GT,3,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_starts_adj,oil_fixed_adj,1614.2225328673428,fixed,optional
GT,3,real_opex ~ 0 + capacity_adj + age_fixed_adj + age_obs_fixed_adj + gen_adj + age_variable_adj + age_obs_variable_adj + starts_adj + oil_fixed_adj + oil_starts_adj,oil_starts_adj,-6.249914105597043,start,optional
