prime_mover,rowid,RC1,RC2,RC3,RC4
CC,58,0.14604337348361637,-0.0413186212398621,-0.07380437431269753,NA
CC,59,0.13460668441063137,-0.02941684553074786,-0.06035435450538297,NA
CC,60,0.18103253438287392,-0.03183676721951141,-0.05746696735634904,NA
CC,61,0.2255908234462471,-0.03516216812936138,-0.047462934329433167,NA
CC,62,0.2610305773344036,-0.037749295140523144,-0.02907230402103312,NA
CC,63,0.31170531396931017,-0.04097301596993071,-0.03008766980744092,NA
CC,64,0.1594530805529483,-0.039849882659605394,-0.07842111839069249,NA
CC,65,0.1281531578090084,-0.019012474965924554,-0.06365063740079151,NA
CC,66,0.18058911671541206,-0.02390230704458659,-0.06091369636287753,NA
CC,67,0.23307479583340412,-0.03150534784857448,-0.051999813976860494,NA
CC,68,0.26168212948076874,-0.03135854844014253,-0.035137481267231006,NA
CC,69,0.3148895914153727,-0.03615374377257735,-0.03447229187155448,NA
CC,70,-0.4404636110523474,-0.004237813018798469,0.3175057487744334,NA
CC,71,-0.5004982215013445,0.0286407140530158,0.3683318502940869,NA
CC,72,-0.4082083636127169,0.03206958955311837,0.36703031278681864,NA
CC,73,-0.5604733539134426,0.06477897840283144,0.3466082613332901,NA
CC,74,-0.5981208029079252,0.06754380245013894,0.24720302813531322,NA
CC,75,-0.5913897220749395,0.052078534720252076,0.1911139415902135,NA
CC,76,-0.5780967538989599,0.05555418343323054,0.1760405155963963,NA
CC,77,-0.4457353145157977,0.03925001998615505,0.1563291436935808,NA
CC,78,-0.3391995220847226,0.03380838090680494,0.17117935348849753,NA
CC,429,-0.07880589822133255,-0.07240891992305824,0.001999818023616624,NA
CC,430,0.03208844153042052,-0.08496504277464181,-0.0034198353593322497,NA
CC,431,0.09734481121247057,-0.09336897337732003,0.009190001979413453,NA
CC,432,0.24863527124803494,-0.10541275362271774,0.03450993564129918,NA
CC,433,0.2103223892848915,-0.1085111852085158,0.014820091763908083,NA
CC,434,0.24258830405099208,-0.10416300384046527,0.023301293165010804,NA
CC,435,-0.0987245325859934,-0.07118062061734015,-0.001453241113877519,NA
CC,436,0.004137917075989319,-0.0832357089533977,-0.011303742944704917,NA
CC,437,0.0850330740010319,-0.09022625438063923,0.01579033095098091,NA
CC,438,0.22073368597131138,-0.10110002631302188,0.03258530166954831,NA
CC,439,0.18894350215317027,-0.10501991901745562,0.014304990886638235,NA
CC,440,0.24752996750058445,-0.10809879381414421,0.01589761080703208,NA
CC,441,-1.142968647543416,-0.052360699307645024,0.2454248099568803,NA
CC,442,-1.1413974349330824,-0.052917930460046024,0.27384357095943046,NA
CC,443,-0.7361023838566512,-0.03519224444072472,0.38638944917271695,NA
CC,444,-0.9899300309775709,-0.03506256293412018,0.23491053389491962,NA
CC,488,-0.13736378445979364,-0.08101931526413378,-0.0916013311735028,NA
CC,489,-0.14566739292541261,-0.07347230366383752,-0.08903398382854691,NA
CC,490,-0.0770855226263787,-0.08358780854100686,-0.08412830574343691,NA
CC,491,-0.07498561485888412,-0.07978982672685185,-0.07868271396447712,NA
CC,492,-0.03329417304941625,-0.08431323852678124,-0.07555541451907384,NA
CC,575,-0.8012741477687213,0.4953788952264197,0.1338525976251995,NA
CC,576,-0.7475128296620678,0.15526749558756212,0.1272842940445799,NA
CC,577,-0.6597623093485684,0.19381657447168013,0.22821336581337062,NA
CC,578,-0.6589165847520745,0.4919862858975381,0.10195231975198299,NA
CC,579,-0.5604522265198465,0.32581583801545777,0.1584450953442988,NA
CC,580,-0.35077213138110286,0.4775151959355038,0.1967281805887293,NA
CC,581,-0.265086913565987,0.5691327916855496,0.21969849902507677,NA
CC,594,0.5608260372541287,0.6621351898314265,0.5120505400627129,NA
CC,595,0.671331114043813,0.5950791709975718,0.4409373343170763,NA
CC,596,0.773255697161276,0.5944758208668001,0.43035949673982293,NA
CC,597,0.8695642831934015,0.5026203016304226,0.433733606106485,NA
CC,598,1.0034149655834919,0.5995191711341562,0.48965519851222206,NA
CC,612,0.6360670796836344,-0.04497840437365398,-0.10120408613581737,NA
CC,613,0.8169731197901312,-0.19703194309903915,0.015551704837545621,NA
CC,615,0.6259204176501559,-0.02522845565515825,-0.10460979828002118,NA
CC,616,0.7484677342070544,-0.0435387265935044,0.015171019001579697,NA
CC,618,0.5656782505155238,0.03980634424990951,0.07901241257286112,NA
CC,619,0.6241267916314247,0.022931316227603853,0.09841049479958437,NA
CC,620,0.68811223720532,0.013651092756414542,0.10516991750959631,NA
CC,638,-0.7967423709650467,0.12871351524841007,0.08275792650552978,NA
CC,639,-0.7399698730977634,0.41273643372682944,0.07030985450223667,NA
CC,640,-0.5776438171575924,0.3241912899667616,0.18544678770299924,NA
CC,641,-0.45310647133907933,0.26033485387117006,0.1408108404253338,NA
CC,665,-0.982575081424112,0.11663143528490283,0.33849049169282797,NA
CC,666,-0.853280354746944,0.3064681662500102,0.3874345231985777,NA
CC,667,-0.8813276286198946,0.22317334551627016,0.3937994937861015,NA
CC,668,-0.7443807249760058,0.1626649361803218,0.33161336782447937,NA
CC,669,-0.5616944745134915,0.6272521826553741,0.39980403755595456,NA
CC,670,-0.5081355596500675,0.6803188521774829,0.44252339014266573,NA
CC,671,0.5257885372443669,0.32587362183713103,0.25705304134005696,NA
CC,672,0.5984176195103705,0.3152250830038,0.28598176899569483,NA
CC,673,0.6578490144025688,0.1859524999936058,0.19609711997615623,NA
